Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,9.784346015976424e-14,4.109425326710098e-12,0,0,9.363171355498721,280.4776138083171,PPP1R15A;KLF10;BTG3;JUN;CDKN1A;CD83;GADD45B;BCL2A1;TIPARP;DUSP1;FOS;RHOB;PER1;ZFP36;NR4A3;DNAJB4;ZC3H12A;NAMPT;BHLHE40;CD69;SGK1;IER5;ATF3;MCL1
MSigDB_Hallmark_2020,Hypoxia,1.7019138781647726e-07,3.5740191441460225e-06,0,0,7.104247104247104,110.7292265997201,PPP1R15A;JUN;CDKN1A;TIPARP;DUSP1;RORA;ENO1;FOS;JMJD6;MT2A;ZFP36;P4HA1;BHLHE40;ATF3
MSigDB_Hallmark_2020,mTORC1 Signaling,1.5080493746210003e-06,2.1112691244694002e-05,0,0,4.687078438802577,62.8288501034781,PPP1R15A;CDKN1A;GOT1;HMGCS1;HSPA4;INSIG1;IFRD1;PDAP1;CACYBP;ENO1;HSPE1;HSPD1;P4HA1;NAMPT;BHLHE40;ETF1;GLA
MSigDB_Hallmark_2020,Apoptosis,4.198922273932119e-06,4.4088683876287246e-05,0,0,5.620628753090781,69.58722098129965,BTG3;JUN;CDKN1A;GADD45B;SLC20A1;HSPB1;RHOB;DNAJA1;RARA;ETF1;CD69;ATF3;MCL1
MSigDB_Hallmark_2020,UV Response Up,7.598944007317324e-06,6.383112966146553e-05,0,0,5.7694117647058825,68.0069484847665,LYN;DNAJA1;BTG3;DNAJB1;PDAP1;FOS;FKBP4;SLC25A4;ATF3;NUP58;GLS;RHOB
MSigDB_Hallmark_2020,Estrogen Response Early,0.0025862120381344765,0.018103484266941337,0,0,4.272952853598015,25.456377306864425,KLF10;TIPARP;BHLHE40;RARA;FOS;FKBP4;GLA
MSigDB_Hallmark_2020,Myogenesis,0.0037992486881223884,0.022729132341163933,0,0,5.623293903548681,31.338346699617176,PRNP;CDKN1A;GADD45B;IFRD1;BHLHE40
MSigDB_Hallmark_2020,Androgen Response,0.004329358541174082,0.022729132341163933,0,0,4.443509615384615,24.183071861179876,HMGCS1;INSIG1;PA2G4;SGK1;SLC38A2;ELL2
MSigDB_Hallmark_2020,Inflammatory Response,0.0052434979644871505,0.024469657167606705,0,0,3.697204301075269,19.413156313556467,LYN;CDKN1A;CD70;NAMPT;NMI;CD69;CD55
MSigDB_Hallmark_2020,Estrogen Response Late,0.009013254674947515,0.03734373141507283,0,0,3.73582995951417,17.592243855475335,BTG3;ZFP36;FOS;FKBP4;SGK1;GLA
MSigDB_Hallmark_2020,Apical Surface,0.009780501084900027,0.03734373141507283,0,0,23.29375,107.78867323284882,LYN;HSPB1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.012509201137103531,0.04378220397986236,0,0,3.0734767025089607,13.465795245244406,PRNP;CD83;GADD45B;P4HA1;BHLHE40;RORA;RHOB
MSigDB_Hallmark_2020,p53 Pathway,0.018785137478407963,0.06069044416101034,0,0,2.8091853471842536,11.165638889094668,PPP1R15A;JUN;CDKN1A;FOS;IER5;ATF3;CDKN2AIP
MSigDB_Hallmark_2020,Glycolysis,0.021574915901142376,0.06472474770342712,0,0,3.0130932896890346,11.558900611350658,PKM;P4HA1;GOT1;SDHC;ENO1;FKBP4
MSigDB_Hallmark_2020,Interferon Gamma Response,0.023582271280564487,0.06603035958558055,0,0,2.325447570332481,8.71405681630368,MT2A;CDKN1A;MX1;NAMPT;NMI;CD69;XAF1;VAMP5;IFIT3
MSigDB_Hallmark_2020,Myc Targets V2,0.054341746202233934,0.14264708378086408,0,0,3.889937106918239,11.329296109779557,PA2G4;HSPE1;HSPD1
MSigDB_Hallmark_2020,Myc Targets V1,0.07263785385338922,0.17945822716719692,0,0,1.778789077958053,4.66446361692874,FBL;HSP90AB1;PCBP1;IFRD1;NDUFAB1;MRPS18B;ETF1;PA2G4;HSPE1;HSPD1
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.08338782733698616,0.18301144247067716,0,0,3.1792452830188678,7.898049426893161,JUN;GADD45B;RHOB
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.08648893560595901,0.18301144247067716,0,0,4.64875,11.378925678142863,MX1;SGK1
MSigDB_Hallmark_2020,TGF-beta Signaling,0.09150572123533858,0.18301144247067716,0,0,3.04019688269073,7.270186311906416,KLF10;PPP1R15A;SLC20A1
MSigDB_Hallmark_2020,UV Response Dn,0.09150572123533858,0.18301144247067716,0,0,3.04019688269073,7.270186311906416,DUSP1;INSIG1;BHLHE40
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.2118099917133983,0.40436452963466946,0,0,1.7559111535705756,2.725289424010348,HSP90AA1;ECHS1;HMGCS1;SDHC
